Date,Tos,Hos,Tug,Hog,Tug12,Hug12
11/12/24 9:39 AM,22.9,86,21.8,99,24.3,82
11/12/24 9:49 AM,23.1,86,21.9,99,24.3,82
11/12/24 9:59 AM,23.4,85,22,99,24.3,82
11/12/24 10:09 AM,23.6,85,22.1,99,24.3,82
11/12/24 10:19 AM,23.5,85,22.1,99,24.3,82
11/12/24 10:29 AM,23.9,84,22.3,99,24.3,82
11/12/24 10:39 AM,24.2,84,22.3,99,24.3,82
11/12/24 10:49 AM,24.2,84,22.4,99,24.3,82
11/12/24 10:59 AM,24.5,82,22.5,99,24.3,82
11/12/24 11:09 AM,24.8,82,22.6,99,24.3,82
11/12/24 11:19 AM,25.3,79,22.7,99,24.3,82
11/12/24 11:29 AM,25.6,77,22.9,99,24.3,82
11/12/24 11:39 AM,25.5,78,22.9,99,24.3,82
11/12/24 11:49 AM,25.4,78,22.9,99,24.3,82
11/12/24 11:59 AM,25.2,79,22.9,99,24.3,82
11/12/24 12:09 PM,25.7,77,23,99,24.3,82
11/12/24 12:19 PM,26.5,73,23.1,99,24.3,82
11/12/24 12:29 PM,26.5,73,23.2,99,24.3,82
11/12/24 12:39 PM,26.9,72,23.3,99,24.3,82
11/12/24 12:49 PM,27.1,71,23.3,99,24.3,82
11/12/24 12:59 PM,27,71,23.4,99,24.3,82
11/12/24 1:09 PM,27.3,70,23.4,99,24.3,82
11/12/24 1:19 PM,27.2,71,23.4,99,24.3,82
11/12/24 1:29 PM,27.1,69,23.4,99,24.3,82
11/12/24 1:39 PM,27.3,70,23.4,99,24.3,82
11/12/24 1:49 PM,27.5,71,23.5,99,24.4,82
11/12/24 1:59 PM,27.5,68,23.5,99,24.3,82
11/12/24 2:09 PM,27.4,69,23.5,99,24.4,82
11/12/24 2:19 PM,27.5,68,23.6,99,24.4,82
11/12/24 2:29 PM,27.6,68,23.5,99,24.4,82
11/12/24 2:39 PM,27.5,68,23.5,99,24.4,82
11/12/24 2:49 PM,27.2,69,23.5,99,24.4,82
11/12/24 2:59 PM,27.1,70,23.5,99,24.4,82
11/12/24 3:09 PM,26.7,71,23.5,99,24.4,82
11/12/24 5:41 PM,22.8,83,22.6,99,24.6,82
11/12/24 5:51 PM,22.5,84,22.5,99,24.6,82
11/12/24 6:01 PM,22.2,85,22.4,99,24.6,82
11/12/24 6:11 PM,22.1,86,22.3,99,24.6,82
11/12/24 6:21 PM,21.9,87,22.3,99,24.6,82
11/12/24 6:31 PM,21.7,87,22.2,99,24.6,82
11/12/24 6:41 PM,21.6,87,22.1,99,24.6,82
11/12/24 6:51 PM,21.5,88,22.1,99,24.6,82
11/12/24 7:01 PM,21.5,88,22,99,24.6,82
11/12/24 7:11 PM,21.4,89,22,99,24.6,82
11/12/24 7:21 PM,21.4,89,22,99,24.6,82
11/12/24 7:31 PM,21.3,89,21.9,99,24.6,82
11/12/24 7:41 PM,21.2,89,21.9,99,24.6,82
11/12/24 7:51 PM,21.1,90,21.9,99,24.6,82
11/12/24 8:01 PM,21,90,21.8,99,24.6,82
11/12/24 8:11 PM,20.9,90,21.8,99,24.6,82
11/12/24 8:21 PM,20.9,90,21.7,99,24.6,82
11/12/24 8:31 PM,20.7,91,21.7,99,24.6,82
11/12/24 8:41 PM,20.7,91,21.7,99,24.6,82
11/12/24 8:51 PM,20.7,91,21.6,99,24.6,82
11/12/24 9:01 PM,20.6,92,21.6,99,24.6,82
11/12/24 9:11 PM,20.6,92,21.6,99,24.6,82
11/12/24 9:21 PM,20.5,92,21.6,99,24.6,82
11/12/24 9:31 PM,20.5,92,21.5,99,24.6,82
11/12/24 9:41 PM,20.5,92,21.5,99,24.6,82
11/12/24 9:51 PM,20.4,93,21.5,99,24.6,82
11/12/24 10:01 PM,20.4,93,21.4,99,24.5,82
11/12/24 10:11 PM,20.3,93,21.4,99,24.6,82
11/12/24 10:21 PM,20.3,93,21.4,99,24.6,82
11/12/24 10:31 PM,20.3,93,21.4,99,24.5,82
11/12/24 10:41 PM,20.2,93,21.3,99,24.5,82
11/12/24 10:51 PM,20.1,93,21.3,99,24.5,82
11/12/24 11:01 PM,20.1,93,21.3,99,24.5,82
11/12/24 11:11 PM,20,93,21.2,99,24.5,82
11/12/24 11:21 PM,20,94,21.2,99,24.5,82
11/12/24 11:31 PM,19.9,94,21.2,99,24.5,82
11/12/24 11:41 PM,19.8,94,21.2,99,24.5,82
11/12/24 11:51 PM,19.8,94,21.1,99,24.5,82
11/13/24 12:01 AM,19.7,94,21.1,99,24.5,82
11/13/24 5:40 AM,17.5,97,19.8,99,24.2,83
11/13/24 5:50 AM,17.5,97,19.8,99,24.2,83
11/13/24 6:00 AM,17.4,97,19.7,99,24.2,83
11/13/24 6:10 AM,17.4,97,19.7,99,24.2,83
11/13/24 6:20 AM,17.3,97,19.7,99,24.2,83
11/13/24 6:30 AM,17.3,97,19.6,99,24.2,83
11/13/24 6:40 AM,17.3,97,19.6,99,24.1,83
11/13/24 6:50 AM,17.3,97,19.6,99,24.1,83
11/13/24 7:00 AM,17.4,97,19.6,99,24.1,83
11/13/24 7:10 AM,17.6,98,19.6,99,24.1,83
11/13/24 7:20 AM,17.8,97,19.7,99,24.1,83
11/13/24 7:30 AM,18.2,97,19.7,99,24.1,83
